;Nombre;NIF;Localidad;País;Inmovilizado_Inmaterial;Fecha_Constitucion;Last_year;ROA23;Total_Activo;Ingresos_Explotacion;Empleados;Ratio_Liquidez;Ratio_Solvencia;CNAE;Ratio_Endeudamiento;EBITDA;Resultado_Ejercicio
147.;LUXQUANTA TECHNOLOGIES S.L.;B06769830;CASTELLDEFELS;ESPANA;2.216;13/05/2021;31/12/2024;-1,17;5.369;954;24;509,98;5,1;2630;43,05;92;-4
148.;VOXSMART TRADING SL.;B88514518;MADRID;ESPANA;n.d.;31/10/2019;31/03/2022;n.d.;n.d.;n.d.;36;n.d.;n.d.;6202;n.d.;n.d.;n.d.
149.;GBTEC SOFTWARE, S.L.;B70577796;A CORUÑA;ESPANA;n.d.;24/01/2019;31/12/2024;20,67;2.149;2.478;38;665,71;6,66;6201;7,34;455;476
150.;ALTERYX ANALYTICS SPAIN S.L.;B09618281;BARCELONA;ESPANA;n.d.;01/01/2022;31/12/2024;8,33;1.981;3.466;9;207,98;2,08;6209;0;175;111
151.;MIXKIN TECH SL.;B25849878;SOLSONA;ESPANA;895;27/03/2019;31/12/2024;42,61;1.682;1.264;14;101,04;1,01;6209;20,65;1.047;538
152.;ALENIA CONSULTING ESPAÑA SL.;B67840348;MADRID;ESPANA;n.d.;01/12/2021;31/12/2024;18,88;837;1.164;22;110,43;1,1;6202;25,33;158;134
153.;ASTEO RED NEUTRA SL.;B06764831;ALCOBENDAS;ESPANA;7;13/05/2021;31/12/2024;-5,05;43.869;1.526;14;234,26;2,34;6110;21,93;-382;-2.215
154.;MADBOX GAMES SPAIN S.L.;B67506006;BARCELONA;ESPANA;n.d.;20/09/2019;31/12/2023;7,42;802;2.858;26;237,87;2,38;6209;11,07;73;62
155.;ASLAM TECHNOLOGICAL INNOVATION SL.;B10626273;MADRID;ESPANA;n.d.;29/04/2022;31/12/2024;39,72;1.588;2.380;38;179,08;1,79;6209;0;631;536
156.;SCREENING EAGLE SPAIN SL.;B93742831;ESTEPONA;ESPANA;n.d.;26/02/2020;31/12/2024;30,72;892;3.229;27;165,26;1,65;6201;0,53;421;199
157.;ILITIA SYSTEMS SL.;B88628193;MOSTOLES;ESPANA;n.d.;21/04/2020;31/12/2024;3,35;603;1.924;16;102,5;1,03;6202;22,39;24;12
158.;JM DISTECH Y SEGURIDAD SL.;B09890484;PATERNA;ESPANA;n.d.;10/03/2022;31/12/2024;6,05;1.078;2.379;7;115,82;1,16;2611;37,25;66;35
159.;POWER FACTORS SPAIN OPERATIONS SL.;B88616842;SEVILLA;ESPANA;n.d.;06/03/2020;31/12/2024;31,08;267;1.745;20;161,87;1,62;6202;0;90;64
160.;IC CONSULT SPAIN S.L.;B67426403;BARCELONA;ESPANA;n.d.;11/04/2019;31/12/2023;-14,83;983;2.809;32;89,09;0,89;6202;71,19;-102;-159
161.;GSIQUANTS SL.;B10685410;ALICANTE/ALACANT;ESPANA;n.d.;16/05/2022;31/12/2024;-1,37;965;4.786;1;90,08;0,9;6209;26,53;-13;-17
162.;DEISTER CLOUD S.L.;B67602243;BARCELONA;ESPANA;n.d.;20/02/2020;31/12/2024;18,63;2.107;2.311;3;214,5;2,14;6209;4,56;429;288
163.;SCENE STROKES S.L.;B67481663;BARCELONA;ESPANA;n.d.;31/07/2019;31/12/2024;-16,85;1.018;1.945;20;486,64;4,87;6312;1,06;-172;24
164.;NAX AGTECH SL.;B67965764;ALACANT/ALICANTE;ESPANA;2;31/12/2021;31/12/2023;36,99;2.817;2.766;20;272,6;2,73;6399;0,12;1.051;882
165.;ARCWIDE SPAIN SL.;B02753663;TRES CANTOS;ESPANA;98;03/11/2020;31/12/2024;37,51;1.297;2.156;24;258,38;2,58;6202;3,22;489;420
166.;ALKIMIA INTERACTIVE S.L.;B67542720;BARCELONA;ESPANA;n.d.;14/11/2019;31/03/2023;n.d.;n.d.;n.d.;37;n.d.;n.d.;6201;n.d.;n.d.;n.d.
167.;MAIBORNWOLFF SPAIN SL.;B02955086;VALENCIA;ESPANA;n.d.;01/01/2021;30/06/2023;29,31;436;2.717;42;175,04;1,75;6201;23,98;141;92
168.;RINDUS TECHNOLOGY 5 SL.;B01834902;MALAGA;ESPANA;n.d.;10/08/2020;31/12/2024;13,72;401;1.995;33;103,87;1,04;6202;12,6;55;41
169.;PRIMEUM VENTURES SL.;B88338884;MADRID;ESPANA;14;12/03/2019;31/12/2023;2,17;1.218;2.700;2;242,65;2,43;6399;62,84;33;6
170.;RINGOVER ESPAÑA SL.;B06967202;MADRID;ESPANA;n.d.;29/06/2021;31/12/2024;26,2;445;2.541;30;146,21;1,46;6190;0;118;79
171.;TATTOOX S.L.;B67709097;BARCELONA;ESPANA;207;03/11/2021;31/12/2024;-2,29;695;1.076;38;388,72;3,89;6312;30,23;69;-33
172.;RINDUS TECHNOLOGY 4 SL.;B01834910;MALAGA;ESPANA;n.d.;10/08/2020;31/12/2024;44,25;188;2.799;32;110,01;1,1;6202;0,03;83;63
173.;REDJAM TELECOM SL.;B72381726;CONIL DE LA FRONTERA;ESPANA;6;06/09/2019;31/12/2024;20,63;5.648;2.534;4;538,5;5,39;6110;4,96;1.371;905
174.;FOXTER SOLUTIONS S.L.;B67455006;BARCELONA;ESPANA;n.d.;04/06/2019;31/12/2024;30,48;751;2.418;30;159,65;1,6;6202;0;233;197
175.;SCOOLINARY SL.;B16671653;CALVIA;ESPANA;925;11/05/2020;31/12/2024;-21,94;2.047;2.014;3;130,71;1,31;6312;20,12;-226;-479
176.;DEUS IBERIA, S.L.;B42983684;A CORUÑA;ESPANA;n.d.;05/03/2021;31/12/2024;51,57;411;3.040;36;165,18;1,65;6201;0;219;180
177.;AMS SOLUTIONS, S.L.;B16954596;A CORUÑA;ESPANA;1;30/09/2021;31/12/2024;40,16;854;2.412;38;157,22;1,57;6202;0,08;365;259
178.;LABORATORIO CDC LAM SL.;B01765288;MADRID;ESPANA;35;27/08/2020;31/12/2024;33,44;819;2.141;27;170,47;1,7;2660;44,16;331;191
179.;TAXSCOUTS ESPAÑA SL.;B01886308;MADRID;ESPANA;n.d.;01/09/2020;31/12/2024;-494,28;166;1.290;15;89,95;0,9;6209;0;-816;-821
180.;ELECTRO-RAPID REPAIR SL.;B02961431;GRANADA;ESPANA;179;26/01/2021;31/12/2024;-2,56;1.157;3.053;20;65,39;0,65;6311;0;-30;-22
181.;MERLIN SOFTWARE, S.L.;B70576061;A CORUÑA;ESPANA;n.d.;10/01/2019;31/12/2024;6,25;809;2.067;33;114,28;1,14;6201;17,68;92;37
182.;GRUPO SOLUTIA TECNOLOGIA SOCIEDAD LIMITADA.;B90419334;SEVILLA;ESPANA;25;29/01/2019;31/12/2024;-2,54;5.358;1.618;28;502,46;5,02;6209;0,75;-110;1.455
183.;BEE GREEN ENERGY, SOCIEDAD LIMITADA.;B16689572;LAS PALMAS DE GRAN CANARIA;ESPANA;362;12/07/2021;31/12/2024;24,28;3.066;5.764;17;578,43;5,78;6201;4,05;752;691
184.;TAI SOFTWARE SOLUTIONS IBERIA SL.;B88446885;LAS ROZAS DE MADRID;ESPANA;n.d.;15/07/2019;30/06/2024;-47,34;300;396;6;139,73;1,4;6201;83,26;-142;-142
185.;DIGITTUDE TECHNOLOGY SOLUTIONS SL.;B10830115;MADRID;ESPANA;n.d.;17/06/2022;31/12/2024;-28,01;479;1.425;25;87,72;0,88;6202;73,13;-134;-137
186.;STRIKING DISTANCE STUDIOS SPAIN SL.;B88555909;ZARAGOZA;ESPANA;28;23/04/2020;31/12/2024;11,22;2.072;2.599;14;385,68;3,86;6201;0,11;404;175
187.;SOFBRAIN, SOCIEDAD LIMITADA.;B01723808;LAS PALMAS DE GRAN CANARIA;ESPANA;n.d.;10/07/2020;31/12/2023;51,65;3.193;2.461;20;2.017,31;20,17;5829;0;1.654;1.601
188.;IMARKETING AND I SALES S.L.;B06820203;BARCELONA;ESPANA;n.d.;26/05/2021;31/12/2022;n.d.;n.d.;n.d.;20;n.d.;n.d.;6209;n.d.;n.d.;n.d.
189.;DEKO DATA ANALYTICS SL.;B72396567;MADRID;ESPANA;n.d.;02/08/2022;31/12/2024;-16,98;1.776;987;20;536,52;5,37;6311;0,04;-296;-285
190.;B38 IBERIA S.L.;B67364562;BARCELONA;ESPANA;n.d.;23/01/2019;31/12/2024;2,18;4.445;3.443;45;785,34;7,85;6201;29,93;119;69
191.;CREDALITAS SL.;B10517787;MADRID;ESPANA;115;01/04/2022;31/12/2024;18,38;378;1.346;20;177,21;1,77;6201;0,23;70;59
192.;GESTION AVANZADA DEL DESARROLLO DIGITAL SL.;B10653285;ALACANT/ALICANTE;ESPANA;3.329;09/05/2022;31/12/2024;-14,05;4.497;1.862;50;69,73;0,7;6209;22,68;-140;-571
193.;HELIO NETWORKS SL.;B88567896;ALCOBENDAS;ESPANA;n.d.;13/01/2020;31/12/2024;n.d.;n.d.;n.d.;17;n.d.;n.d.;6209;n.d.;n.d.;n.d.
194.;UMB SPANIEN S.L.U;B88592316;MADRID;ESPANA;n.d.;04/02/2020;31/12/2024;24,18;463;1.886;32;72,34;0,72;6202;1,02;155;63
195.;LASTING DYNAMICS, SOCIEDAD LIMITADA.;B42740639;LAS PALMAS DE GRAN CANARIA;ESPANA;n.d.;12/01/2021;31/12/2024;35;3.151;2.732;10;2.559,32;25,59;6201;9,21;1.122;1.051
196.;PLATAFORMA MULTIMEDIA DE OPERADORES SL.;B88393525;MADRID;ESPANA;341;16/05/2019;31/12/2023;-24,57;1.481;2.367;4;236,13;2,36;6190;87,8;494;-273
197.;KRAKEND S.L.U.;B06933832;BARCELONA;ESPANA;n.d.;21/06/2021;31/12/2024;67,66;893;1.324;5;349,75;3,5;6209;0;605;551
198.;NEW KID IN TOWN SERVICIOS SL.;B88384656;MADRID;ESPANA;155;07/05/2019;31/12/2024;22,83;930;2.321;22;221,97;2,22;6202;24,19;232;157
199.;RIGISTON S.L.;B67429449;BARCELONA;ESPANA;472;02/05/2019;31/12/2024;-36,84;1.185;1.251;8;62,54;0,63;6209;54,72;-356;-460
200.;CREATORS ECONOMY AGENCY SL.;B01807767;MADRID;ESPANA;n.d.;31/07/2020;31/12/2024;101,65;1.049;1.872;12;181,19;1,81;6202;34,65;1.067;814
201.;SYMANTO SPAIN SOCIEDAD LIMITADA.;B01808831;VALENCIA;ESPANA;218;01/08/2020;31/12/2023;17,64;819;2.339;33;21.632,16;216,32;6202;41,8;201;108
202.;CONSULTORIA INFORMATICA Y ELECTRONICA ISALUS S.L.;B06879191;MATARO;ESPANA;n.d.;18/05/2021;31/12/2023;26,24;1.708;2.325;23;234,88;2,35;6202;9,58;464;328
203.;SOLUCIONES TECNO-PROFESIONALES PROJECTS S.L.;B67442616;VILADECANS;ESPANA;91;22/05/2019;31/12/2024;5,91;905;2.158;37;84,07;0,84;6209;65,94;63;16
204.;HISPANIC FIBER FAST SOCIEDAD LIMITADA.;B16956773;ALMANSA;ESPANA;8;27/09/2021;31/12/2024;26,56;2.864;3.969;11;176,18;1,76;2630;59,52;834;611
205.;SISTEMAS VIRTUALES AR VR, SOCIEDAD LIMITADA.;B76361203;LAS PALMAS DE GRAN CANARIA;ESPANA;1.593;26/11/2019;31/12/2024;0,69;3.345;2.111;20;98,49;0,98;6201;31,02;156;302
206.;RINDUS TECHNOLOGY 6 SL.;B01834894;MALAGA;ESPANA;n.d.;10/08/2020;31/12/2023;43,26;141;2.293;33;107,42;1,07;6202;0;61;46
207.;INTERMARK DATA SL.;B09685595;GIJON;ESPANA;171;07/01/2022;31/12/2024;1,79;823;1.698;34;85,04;0,85;6202;31,64;25;2
208.;LA COMPAGNIE DES ANIMAUX ESPAÑA S.L.;B16792046;BARCELONA;ESPANA;n.d.;29/07/2021;31/12/2023;-42,1;583;2.225;24;48,2;0,48;6201;120,94;-242;-327
209.;CYRUSONE MADRID 1 SL.;B42863282;MADRID;ESPANA;n.d.;09/02/2021;31/12/2024;-0,59;120.953;n.d.;4;82,12;0,82;6190;11,11;-718;-867
210.;PAYFLOW EUROPE SL.;B13812607;MADRID;ESPANA;n.d.;19/05/2023;31/12/2024;2,18;7.494;530;20;126,69;1,27;6201;99;164;3
211.;EVOA REDES SL.;B67652834;SANTIAGO DE COMPOSTELA;ESPANA;9;19/10/2021;31/12/2024;-45,88;772;1.178;22;91,6;0,92;6120;101;-336;-273
212.;TOTALFAN CYL SL.;B47799135;VALLADOLID;ESPANA;5;01/09/2019;31/12/2024;-78,56;214;1.561;48;42,47;0,42;6190;53,96;-158;-149
213.;SERVICIOS TECNOLOGICOS OK CARGO SL.;B10927515;MADRID;ESPANA;569;13/07/2022;31/12/2023;-8,94;1.917;2.190;8;242,66;2,43;6201;0;-136;-173
214.;GRAVITAD SYSTEMS, SOCIEDAD LIMITADA.;B76361187;LAS PALMAS DE GRAN CANARIA;ESPANA;1.242;26/11/2019;31/12/2024;0,34;2.762;2.141;20;91,93;0,92;6201;29,3;140;124
215.;INNUSUAL TECH SERVICES SL.;B10967032;VALLADOLID;ESPANA;50;28/07/2022;31/12/2024;6,65;341;1.447;33;90,94;0,91;6202;22,13;23;8
216.;VANITY BISS SL.;B11969938;JEREZ DE LA FRONTERA;ESPANA;n.d.;22/03/2019;31/12/2020;n.d.;n.d.;n.d.;2;n.d.;n.d.;6190;n.d.;n.d.;n.d.
217.;ONE TEAM IBERIA SOLUTIONS SL.;B72717978;MADRID;ESPANA;n.d.;02/02/2023;31/12/2024;0,77;238;981;3;170,85;1,71;6202;0,01;3;1
218.;BLUE THINGS CONNECT SOCIEDAD LIMITADA.;B40645269;VALENCIA;ESPANA;n.d.;05/02/2020;31/12/2021;n.d.;n.d.;n.d.;7;n.d.;n.d.;6190;n.d.;n.d.;n.d.
219.;LA CODIFICACION VLC SOCIEDAD LIMITADA.;B10897429;VALENCIA;ESPANA;n.d.;06/07/2022;31/12/2024;96,84;1.553;1.626;1;336,07;3,36;6201;0,1;1.504;1.279
220.;HOLISTICA VIRTUAL, SOCIEDAD LIMITADA.;B76361195;LAS PALMAS DE GRAN CANARIA;ESPANA;1.249;26/11/2019;31/12/2024;0,76;3.172;2.021;20;81,4;0,81;6201;19,31;141;375
221.;TYRIS TV SOCIEDAD LIMITADA.;B01918804;VALENCIA;ESPANA;1;10/09/2020;31/12/2024;10,16;1.177;3.466;40;118,31;1,18;6201;3,52;122;96
222.;NETLOGISTIK EMEA S.L.;B67713123;BARCELONA;ESPANA;n.d.;28/10/2021;31/12/2024;15,24;398;1.354;19;292,88;2,93;6202;56,8;65;43
223.;CRG CONSULTING BUSINESS SL.;B04963542;LAS ROZAS DE MADRID;ESPANA;n.d.;16/03/2021;31/12/2024;56,61;185;1.020;1;248,05;2,48;6399;0;105;80
224.;STARLINK SPAIN SL.;B01666577;MADRID;ESPANA;n.d.;19/06/2020;31/12/2024;10,18;3.399;1.699;20;93,73;0,94;6130;85,8;714;166
225.;DOOLE HEALTH S.L.;B67450478;BADALONA;ESPANA;251;04/06/2019;31/12/2024;2,32;1.022;937;23;219,72;2,2;6202;8,71;45;15
226.;IKONS IBERICA SL.;B06997605;VALENCIA;ESPANA;2;07/07/2021;31/12/2024;18,96;422;1.233;4;283,86;2,84;6202;49,89;82;68
227.;AT SEA INTERACTIVE SL.;B76805217;ADEJE;ESPANA;n.d.;05/08/2019;31/12/2024;13,71;1.494;1.951;14;1.374,20;13,74;5821;14,26;247;197
228.;4FLOW SPAIN S.L.;B42779942;ZARAGOZA;ESPANA;4;21/01/2021;31/12/2024;20,08;510;2.133;34;176,64;1,77;6201;19,61;107;73
229.;APPIA GROUP BY VGG S.L.;B67600502;BARCELONA;ESPANA;n.d.;22/02/2020;31/12/2024;9,66;684;1.637;24;351,48;3,51;6201;0,6;73;57
230.;GYRUS DATA SOLUTIONS SL.;B67808105;MADRID;ESPANA;n.d.;24/11/2021;31/12/2024;59,6;813;2.107;24;272,93;2,73;6201;0,49;487;411
231.;AGICAP ESPAÑA SL.;B06854988;MADRID;ESPANA;n.d.;22/06/2021;31/12/2024;0,31;2.224;2.290;22;36,47;0,36;6209;216,58;8;-35
232.;ELITE MEDIA APPLICATIONS S.L.;B67444869;BARCELONA;ESPANA;n.d.;16/05/2019;31/12/2024;-13,33;440;2.001;3;143,98;1,44;6209;13,94;-55;-58
233.;LAUTIK IT SOLUTIONS SL.;B75236901;IRUN;ESPANA;n.d.;19/02/2020;31/12/2024;29,26;729;1.846;8;154,14;1,54;6202;0;216;168
234.;GESTORIA DE SUBVENCIONES SL.;B09679895;SORIA;ESPANA;2;28/01/2022;31/12/2024;73,03;1.078;1.496;17;174,86;1,75;6399;0;792;590
235.;TEMPLUS MALAGA SL.;B67676023;ALCALA DE HENARES;ESPANA;n.d.;22/10/2021;31/12/2024;27,54;1.811;1.808;2;212,41;2,12;6311;7,12;665;371
236.;NEXT MATTERS S.L.;B67590414;SANT ANDREU DE LA BARCA;ESPANA;106;07/02/2020;31/12/2024;16,8;830;1.179;9;1.595,60;15,96;6202;0;144;101
237.;GLOBAL ASSET SOLUTIONS EUROPE S.L.;B67470419;BARCELONA;ESPANA;10;09/07/2019;31/12/2024;30,8;625;1.300;2;131,03;1,31;6202;0;194;142
238.;TRILOGI THE ECOMMERCE AGENCY S.L.;B01669217;IGUALADA;ESPANA;n.d.;26/06/2020;31/12/2024;53,64;644;2.112;41;172,05;1,72;6201;14,24;346;260
239.;PODA CONSULTORA SOCIEDAD LIMITADA.;B04961561;LEON;ESPANA;n.d.;17/03/2021;31/12/2023;57,73;981;1.992;24;298,6;2,99;6209;0,21;566;425
240.;ARKTIC BUSINESS CONSULTING SL.;B56152515;MADRID;ESPANA;n.d.;04/07/2023;31/12/2024;-66,36;552;85;34;131,84;1,32;6202;0;-366;-367
241.;KATATEK GROUP SL.;B72725229;MADRID;ESPANA;142;09/11/2022;31/12/2024;16,63;809;2.317;21;99,5;1;6209;0;183;110
242.;TRENDING NEW TECHNOLOGIES SL.;B02692366;EL MOLAR;ESPANA;n.d.;18/10/2020;31/12/2023;46,19;285;1.978;5;194,15;1,94;2620;17,36;132;129
243.;COGIFAR TECH SL.;B40626111;VALENCIA;ESPANA;239;20/11/2019;31/12/2024;-4,9;2.564;2.169;1;95,03;0,95;6209;0,01;-36;-94
244.;ADA CLOUD SOCIEDAD LIMITADA.;B95976932;BILBAO;ESPANA;n.d.;06/11/2019;31/12/2024;18,75;477;1.390;20;106,21;1,06;6311;18,33;96;87
245.;EDUJOY GAMES SOCIEDAD LIMITADA.;B02874428;BILBAO;ESPANA;n.d.;02/12/2020;31/12/2023;-0,31;1.799;1.958;20;200,41;2;6201;0;1;29
246.;INOTECH SPAIN METER CALIBRATION SYSTEMS S.L.;B06831911;MONTORNES DEL VALLES;ESPANA;n.d.;29/05/2021;31/12/2024;3,4;1.251;1.516;15;104,43;1,04;2651;21,54;46;31
247.;KUIK CODE SL.;B56461221;ERRENTERIA;ESPANA;n.d.;21/09/2023;31/12/2024;24,75;1.300;2.174;37;272,46;2,72;6201;0;351;307
248.;CROSSMINT EUROPE SL.;B10806719;MADRID;ESPANA;n.d.;10/06/2022;31/12/2024;62,8;164;1.111;12;1.371,39;13,71;6209;0;106;70
249.;DGH TECHNOLOGICAL SOLUTIONS SL.;B67653386;BURGOS;ESPANA;n.d.;01/10/2021;31/12/2024;4,16;805;1.854;22;238,63;2,39;6209;0,32;40;25
250.;MEGA WORLD WIDE S.L.;B05349873;BARCELONA;ESPANA;n.d.;13/04/2021;31/12/2023;11,85;369;1.924;9;210;2,1;5821;0;47;30
251.;P1 TECHNOLOGIES SPAIN SL.;B06958466;MADRID;ESPANA;207;28/06/2021;31/12/2023;12,19;3.230;1.918;8;114,54;1,15;6202;0;394;295
252.;ICONSULTING365 SOLUCIONES TECNOLOGICAS SL.;B02710499;CAMAS;ESPANA;9;22/10/2020;31/12/2024;19,08;594;2.141;45;101,63;1,02;6202;24,08;114;83
253.;WOLO REALTECH S.L.;B67436600;BARCELONA;ESPANA;695;10/05/2019;31/12/2024;-22,13;1.579;1.388;27;508,54;5,09;6209;45,79;-307;-361
254.;BUHO MOBILE SL.;B67975508;MADRID;ESPANA;n.d.;01/01/2022;31/12/2024;17;463;1.255;1;177,53;1,78;6190;39,64;79;55
255.;YPH DIGITAL MALACITANA SL.;B93699056;MALAGA;ESPANA;10;03/07/2019;31/12/2024;6,41;241;1.206;3;384,37;3,84;6201;49,66;15;12
256.;AUDINFOR CLOUD SOCIEDAD LIMITADA.;B09757113;ZARAGOZA;ESPANA;93;14/02/2022;31/12/2024;82,17;546;1.371;3;87,27;0,87;6311;26,61;547;335
257.;SALAD BRANDS S.L.;B70835202;BARCELONA;ESPANA;n.d.;06/03/2024;31/12/2024;n.d.;n.d.;n.d.;20;n.d.;n.d.;6312;n.d.;n.d.;n.d.
258.;DEVOL RPA SOCIEDAD LIMITADA.;B02871580;ARRIGORRIAGA;ESPANA;n.d.;02/12/2020;31/12/2024;7,7;858;1.673;21;191,32;1,91;6202;29,39;67;70
259.;ARKEERO MEDIA SL.;B10776540;MADRID;ESPANA;n.d.;06/06/2022;31/12/2024;n.d.;n.d.;n.d.;7;n.d.;n.d.;6202;n.d.;n.d.;n.d.
260.;RED CORPORATE TELECOM SL.;B88318977;FUENLABRADA;ESPANA;8;22/02/2019;31/12/2024;33,06;1.355;1.862;26;114,14;1,14;6190;22,83;467;333
261.;PIENSA AUDIOVISUAL SL.;B88354238;ALCORCON;ESPANA;n.d.;29/03/2019;31/12/2024;23,74;3.325;3.363;26;313,79;3,14;6209;1,9;803;615
262.;FUTURE MOTORS IBERIA SL.;B67786574;MADRID;ESPANA;n.d.;19/11/2021;31/12/2024;-49,28;688;834;6;175,84;1,76;6209;90,75;-338;-356
263.;COLWAY SMARTCOM SL.;B42753228;MADRID;ESPANA;1;29/12/2020;31/12/2024;12,3;1.550;3.149;7;286,77;2,87;2630;5,68;191;148
264.;DIGITAL TECHNOLOGY PREVENTOR 2020 SL.;B76800440;SANTA CRUZ DE TENERIFE;ESPANA;0;12/06/2019;31/12/2024;38,28;3.956;1.945;12;n.s.;n.s.;6201;0;1.519;1.480
265.;KAPPA OPTRONICS SL.;B88506738;MADRID;ESPANA;n.d.;23/10/2019;31/12/2024;-2,53;324;2.154;14;108,62;1,09;2611;0,52;-2;-11
266.;LICENSEPRO SOFTWARE SPAIN S.L.;B67495051;BARCELONA;ESPANA;n.d.;30/08/2019;31/12/2024;7,12;676;1.733;2;115,23;1,15;6202;0;53;37
267.;KRZ CONSULTING SPAIN SL.;B72869522;MADRID;ESPANA;n.d.;12/12/2022;31/12/2024;10,69;93;829;20;112,42;1,12;6209;43,16;10;10
268.;ALICE BIOMETRICS SOCIEDAD LIMITADA.;B27872217;MADRID;ESPANA;1.516;19/06/2019;31/12/2024;14,68;4.665;2.445;18;337,33;3,37;6201;42,76;1.137;520
269.;L2021 INFORMATICA SL.;B71426845;BURLADA/BURLATA;ESPANA;4;09/03/2021;31/12/2024;40,2;832;1.548;15;304,8;3,05;6201;0;340;259
270.;HAIVISION MEDIA TECHNOLOGIES SL.;B88430558;MADRID;ESPANA;10;28/06/2019;31/10/2023;6,31;442;1.814;12;347,82;3,48;6201;0;28;23
271.;GRAFTECH DIGITAL, SOCIEDAD LIMITADA.;B16892887;LAS PALMAS DE GRAN CANARIA;ESPANA;750;15/09/2021;31/12/2024;0,56;2.009;1.433;20;168,62;1,69;6201;36,46;60;438
272.;DIVERGER THINKING SL.;B56192578;MADRID;ESPANA;42;12/07/2023;31/12/2024;-49,15;88;35;11;31,35;0,31;6201;90,8;-43;-33
273.;HIOPOS CLOUD SERVICES SL.;B25848953;LLEIDA;ESPANA;n.d.;22/03/2019;31/12/2024;34,98;295;1.422;6;322,7;3,23;6209;0;104;78
274.;ESCUELA DE MEMORIA S.L.;B67472944;VILANOVA I LA GELTRU;ESPANA;n.d.;11/07/2019;31/12/2021;n.d.;n.d.;n.d.;13;n.d.;n.d.;6209;n.d.;n.d.;n.d.
275.;FINCLOUDAPPS SOCIEDAD LIMITADA.;B09951351;BOADILLA DEL MONTE;ESPANA;4;21/03/2022;31/12/2024;14,06;239;1.594;3;141,79;1,42;6312;0,05;34;26
276.;ROIBOS TECHNOLOGIES SL.;B16642688;PALMA;ESPANA;116;28/08/2019;31/12/2024;-61,31;2.056;580;29;1.291,52;12,92;6202;0,07;-1.183;-1.072
277.;CACTUSSOFT SPAIN SL.;B67712778;TOMARES;ESPANA;n.d.;27/10/2021;31/12/2024;15,97;87;1.719;32;80,91;0,81;6202;9,49;22;6
278.;BEJAOFIT S.L.;B67624346;BARCELONA;ESPANA;724;21/05/2020;31/12/2024;-37,13;1.445;1.091;14;74,08;0,74;6209;13,93;-393;-552
279.;CRYPTOGRAPHY & SECURITY SYSTEMS SL.;B88454186;MADRID;ESPANA;2.630;29/07/2019;31/12/2024;-41,31;3.214;1.013;11;76,57;0,77;6201;69,15;-964;-1.430
280.;INFORMATICA TELEFONIA Y ELECTRICIDAD SOLUCIONES SL.;B88375597;MADRID;ESPANA;n.d.;24/04/2019;31/12/2024;7,83;477;1.438;15;161,74;1,62;2611;49,8;53;20
281.;ORIGEN DIGITAL SOCIEDAD LIMITADA.;B09952268;ZARAGOZA;ESPANA;n.d.;23/03/2022;31/12/2024;-3,94;587;720;18;137,72;1,38;6209;51,67;-22;-18
282.;LAST SYSTEMS S.L.;B67417758;BARCELONA;ESPANA;304;09/04/2019;31/12/2024;-29,6;5.438;1.227;41;1.485,64;14,86;6201;3,21;-1.505;-1.615
283.;JM INGENIA TELECOMUNICACIONES, SOCIEDAD DE RESPONSABILIDAD LIMITADA.;B05566997;MURCIA;ESPANA;n.d.;05/03/2020;31/12/2023;41,77;1.077;1.734;34;148,55;1,49;6110;43,34;451;305
284.;DIGIBAY SL.;B16666489;SANTA EUGENIA;ESPANA;n.d.;20/02/2020;31/12/2024;22,79;164;2.024;1;184,59;1,85;6312;0;37;16
285.;WILOC TECHNOLOGIES SL.;B88562293;MADRID;ESPANA;176;03/01/2020;31/12/2024;-22,03;1.780;1.350;15;235;2,35;6311;34,83;-299;-144
286.;QUALITY PAY SYSTEMS SOCIEDAD LIMITADA.;B10868461;MARTOS;ESPANA;10;29/06/2022;31/12/2024;1,34;4.966;449;20;101,72;1,02;2640;0,95;68;49
287.;TWISTIC DIGITAL, SOCIEDAD LIMITADA.;B10601136;SAN BARTOLOME DE TIRAJANA;ESPANA;n.d.;26/04/2022;31/12/2024;-15,68;731;1.134;10;342,37;3,42;6201;8,69;-110;-176
288.;ZOI LPA, SOCIEDAD LIMITADA.;B76347665;LAS PALMAS DE GRAN CANARIA;ESPANA;n.d.;23/05/2019;31/12/2024;4,86;994;1.652;11;205,04;2,05;6202;31,25;50;29
289.;BLUE CODE SOLUTIONS SL.;B06969109;ALACANT/ALICANTE;ESPANA;539;01/07/2021;31/12/2024;48,21;792;1.240;27;188,64;1,89;6209;3,88;712;383
290.;CAPCHASE SPAIN SL.;B01674464;MADRID;ESPANA;n.d.;29/06/2020;31/12/2021;n.d.;n.d.;n.d.;45;n.d.;n.d.;6209;n.d.;n.d.;n.d.
291.;BEFOOTBALL SL.;B01781061;MADRID;ESPANA;1.672;27/07/2020;31/12/2023;4,64;3.335;1.701;11;103,29;1,03;6201;36,12;308;171
292.;TECHPROPERTIES, SOCIEDAD LIMITADA.;B04957015;LAS PALMAS DE GRAN CANARIA;ESPANA;1.478;15/03/2021;31/12/2024;0,96;2.815;1.223;20;118,68;1,19;6201;45,26;71;308
293.;VALPATEK TECHNOLOGY GROUP SL.;B88492186;TRES CANTOS;ESPANA;n.d.;04/10/2019;31/12/2024;45,9;266;1.179;8;155,47;1,55;6201;0;124;92
